fid,id,boron,calcium,clay,copper,fineSand,humus,potassium,magnesium,phosphorus,rt,sand,totalN,zinc,silt,jb,coarseSand,altitude,sulfur,iron,manganese,molybdenum,sodium,ph,fiSoil,NDRE0517_b1_count,NDRE0517_b1_mean,NDRE0517_b1_stdev,NDVI_b1_count,NDVI_b1_mean,NDVI_b1_stdev,T_2021,T_2022,PLOT_ID,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1537",,4.827057,0,13.831609,1.866885,40.170143,2.899697,12.571023,5.888385,2.114427,6.4295,74.770523,0,0,8.49817,"6",34.600384,23.690302,,,,,,5.9295,"0",15954,0.393783236281815,0.0343441731014443,15954,0.754965538766818,0.0660712336633334,Mineral,Control,9-d,"1",0,12.2912464251335,55.6729908323956,12.2912464251335,55.6729908323956
"1538",,4.433616,0,14.130322,1.785328,41.846825,2.510851,15.636713,5.878809,2.813493,6.329987,73.738243,0,0,9.620581,"6",31.89142,24.382002,,,,,,5.829987,"0",15956,0.609263361729336,0.0294408714339383,15956,0.924367933012274,0.0210111065473515,OG2,OG2_residual,9-b,"1",0,12.2912716061998,55.6734318533,12.2912716061998,55.6734318533
"1539",,4.82114,0,13.82254,1.865658,40.11924,2.893849,12.456292,5.905259,2.093204,6.433224,74.801865,0,0,8.481747,"6",34.682625,23.702841,,,,,,5.933224,"0",15958,0.397642422411911,0.0423249651307536,15958,0.764640856826047,0.0686267439374419,Mineral,Control,9-d,"1",0,12.2912535288336,55.672959759547,12.2912535288336,55.672959759547
"1540",,4.425062,0,14.07455,1.783555,41.533775,2.502398,15.342538,5.869222,2.682973,6.339536,73.930977,0,0,9.492073,"6",32.397205,24.305109,,,,,,5.839536,"0",15955,0.612043890098314,0.0262725970699302,15955,0.923249367859176,0.0192066356992762,OG2,OG2_residual,9-b,"1",0,12.2912737781146,55.6734004394801,12.2912737781146,55.6734004394801
"1541",,4.815348,0,13.810782,1.864457,40.053242,2.888124,12.352524,5.918991,2.065687,6.436593,74.842499,0,0,8.458597,"6",34.789257,23.723457,,,,,,5.936593,"0",15957,0.356934204440805,0.0319050998777356,15957,0.700452326501216,0.0680206656843012,Mineral,Control,9-d,"1",0,12.2912663627075,55.672929082867,12.2912663627075,55.672929082867
"1544",,4.421463,0,14.024486,1.782809,41.252766,2.498841,15.079554,5.860768,2.56581,6.348073,74.103989,0,0,9.372684,"6",32.851223,24.222433,,,,,,5.848073,"0",15953,0.619441104719484,0.0277336178210109,15952,0.926700593124601,0.0190352901600837,OG2,OG2_residual,9-b,"1",0,12.2912759500251,55.6733690256601,12.2912759500251,55.6733690256601
"1546",,4.442154,0,13.979684,1.787097,41.001289,2.51929,14.80231,5.851285,2.460961,6.357072,74.258812,0,0,9.242212,"6",33.257523,24.144053,,,,,,5.857072,"0",15952,0.620764269909206,0.0297895184418909,15953,0.926304986273197,0.0211394560203974,OG2,OG2_residual,9-b,"1",0,12.2912781219313,55.6733376118398,12.2912781219313,55.6733376118398
"1547",,4.81633,0,13.805803,1.864661,40.025295,2.889096,12.306014,5.933884,2.054036,6.438102,74.859703,0,0,8.445399,"6",34.834404,23.754536,,,,,,5.938102,"0",15957,0.371601298433681,0.0351950951594488,15957,0.725861758666057,0.0693714664222272,Mineral,Control,8-d,"1",0,12.2912602839224,55.6728655346319,12.2912602839224,55.6728655346319
"1547",,4.81633,0,13.805803,1.864661,40.025295,2.889096,12.306014,5.933884,2.054036,6.438102,74.859703,0,0,8.445399,"6",34.834404,23.754536,,,,,,5.938102,"0",15957,0.371601298433681,0.0351950951594488,15957,0.725861758666057,0.0693714664222272,Mineral,Control,9-d,"2",0,12.2912791965826,55.6728984061841,12.2912791965826,55.6728984061841
"1554",,4.609786,0,13.911635,1.821846,40.619335,2.684964,14.054875,5.816246,2.301711,6.381334,74.493973,0,0,8.909429,"6",33.874638,23.895136,,,,,,5.881334,"0",15952,0.47505761126996,0.0297224313237411,15952,0.835840407594545,0.0430878496147954,Mineral,OG2,9-c,"1",0,12.2912846376241,55.6732433703776,12.2912846376241,55.6732433703776
