PLOT_ID,T_2021,T_2022,date,count,mean,std,cv
2-b,OG2 2021,OG2 andet 2022,20220517,459639,0.602151407532669,0.0360551772008602,0.05987726134959514
2-b,OG2 2021,OG2 andet 2022,20220529,459745,0.58819803572926,0.0400681778421638,0.06812021701583286
2-b,OG2 2021,OG2 andet 2022,20220624,468176,0.478305698731795,0.0372024670196324,0.07777968591692089
3-b,OG2 2021,OG2 andet 2022,20220412,450113,0.286375720314459,0.0405408758942574,0.1415653388832716
3-b,OG2 2021,OG2 andet 2022,20220517,459641,0.597707130275725,0.0355807274902598,0.05952869840091459
3-b,OG2 2021,OG2 andet 2022,20220529,459746,0.582897487564242,0.0403209054317614,0.06917323593253193
3-b,OG2 2021,OG2 andet 2022,20220624,468177,0.469453290467101,0.0366271364812725,0.07802083237041302
5-b,OG2 2021,OG2 andet 2022,20220412,450112,0.266106590336121,0.0386801610340608,0.14535589285933742
5-b,OG2 2021,OG2 andet 2022,20220517,459640,0.579542223396793,0.0412142541674627,0.0711151879942399
5-b,OG2 2021,OG2 andet 2022,20220529,459745,0.560658716232952,0.0444954105857578,0.07936273761107478
5-b,OG2 2021,OG2 andet 2022,20220624,468180,0.447782347215949,0.0386441848060995,0.08630126901242675
8-c,Mineral N 2021,OG2 2022,20220412,450112,0.279756693292577,0.0358726426699972,0.12822800501320136
8-c,Mineral N 2021,OG2 2022,20220517,459640,0.465230553109757,0.0440222560094879,0.0946246021789162
8-c,Mineral N 2021,OG2 2022,20220529,459745,0.465976341911111,0.0449691811962737,0.0965052882552822
8-c,Mineral N 2021,OG2 2022,20220624,468179,0.446206559147094,0.0413679760301242,0.09271037187171213
7-c,Mineral N 2021,OG2 2022,20220412,450111,0.262252151985892,0.0361350147428706,0.13778729543014198
7-c,Mineral N 2021,OG2 2022,20220517,459640,0.431021038046039,0.0403929408695536,0.09371454593647718
7-c,Mineral N 2021,OG2 2022,20220529,459749,0.428863869835305,0.0450003290608347,0.10492916803207508
7-c,Mineral N 2021,OG2 2022,20220624,468176,0.409935712625081,0.0428130493420486,0.10443844735529191
10-c,Mineral N 2021,OG2 2022,20220412,450115,0.282360215409599,0.0383597435086175,0.13585392493404874
10-c,Mineral N 2021,OG2 2022,20220517,459644,0.483482787852691,0.0431013866639392,0.08914771683055543
10-c,Mineral N 2021,OG2 2022,20220529,459745,0.490229216392532,0.044354093831775,0.0904762350929737
10-c,Mineral N 2021,OG2 2022,20220624,468181,0.45816343129236897,0.0387593009802618,0.08459710734864002
1-c,Mineral N 2021,OG2 2022,20220412,450115,0.274128983726881,0.0358161139344188,0.1306542396483801
1-c,Mineral N 2021,OG2 2022,20220517,459641,0.470556613668442,0.0348702786918411,0.07410432173079813
1-c,Mineral N 2021,OG2 2022,20220529,459745,0.481670787842037,0.0388902288492365,0.08074026872891962
1-c,Mineral N 2021,OG2 2022,20220624,468178,0.45884401403892,0.0358171295708905,0.07805948966319613
3-c,Mineral N 2021,OG2 2022,20220412,450110,0.248639919990688,0.0355751854665428,0.14307913816846127
3-c,Mineral N 2021,OG2 2022,20220517,459639,0.418233367501392,0.0376439566493829,0.09000706202442733
3-c,Mineral N 2021,OG2 2022,20220529,459743,0.426185147982403,0.0402044513214385,0.09433564616638994
3-c,Mineral N 2021,OG2 2022,20220624,468180,0.406447951266933,0.038714614250114,0.09525109950594471
