"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220517,75995,0.662897991108984,0.0752646929075583,0.113538876142384,"bbf"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220529,72319,0.601941419594926,0.067244421048378,0.111712566803643,"bbf"
"3g-9","7a","7b",9,"BVC","BVC",2022,20220624,76140,0.465746848329819,0.057149606418581,0.122705299291924,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220412,74141,0.466334537913117,0.0880284855876463,0.188766815302981,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220517,75997,0.680511661305158,0.0812507702274559,0.119396587667028,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220529,72319,0.66949326766594,0.065543568762208,0.0979002656601957,"bbf"
"8g-1","8a","7b",1,"BA6","BA6",2022,20220624,76140,0.537672209714243,0.0635547501030946,0.118203524293867,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220412,74139,0.54799606884507,0.0823732594263591,0.150317245158282,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220517,75998,0.833365564455848,0.061396026074322,0.0736723818369085,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220529,72319,0.835969494242629,0.0562136290712526,0.0672436368293331,"bbf"
"14g-2","8a","7b",2,"PAL","PAL",2022,20220624,76139,0.741204427565698,0.0590793981866758,0.0797072926030777,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220412,74139,0.4787385306378,0.0910119221454405,0.190107786027145,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220517,75999,0.718272475417089,0.0764368965612835,0.106417688519803,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220529,72318,0.735054509847406,0.0660848833074605,0.0899047382502006,"bbf"
"1g-3","7a","7b",3,"FEK","FEK",2022,20220624,76139,0.610237493113527,0.0687200117333374,0.112611913408855,"bbf"
